RatingID,ProviderID,RatingSourceID,RatingSourceName,RatingType,RatingValue,RatingStartDate,RatingEndDate
ed0f37de-d9b8-496c-99a0-b81eb57ae7eb,9cce144a-a1e2-4d09-b5c5-6af3c93c2ef3,9d93e900-793b-46a7-918b-a483d525825b,Internal Audit,Peer,2.7,08-01-2022,05-06-2024
c4b7ad62-f8e7-4bf2-a126-a82040cbed61,6de87d10-a676-40a6-8f74-fe5f86a68327,29b5c4ba-3db6-4432-8fc0-fc7d46605ffc,Vitals,Internal,1.9,07-11-2021,15-09-2022
84f758ad-3752-4747-b1af-0dd8abc1a56c,b1f9f8b9-d074-4bde-9de1-56ee5f807ded,275a8458-17cb-4675-a214-ca9f4739f1b6,Internal Audit,Internal,1.4,08-06-2021,28-02-2024
e1d0c9f7-f658-45b2-9ea3-0e24b10ec5c5,22f83106-4e2d-4c64-8d94-af4b260aaa4f,4c09a3d7-51a8-4440-a099-4d085dd7f0f9,Vitals,Patient,3,11-09-2022,29-11-2024
e79a91e7-fa3f-4c3a-bb18-d07bd4a3a5d8,70e78c27-6acc-4f4e-b68e-d6a19e4df317,70ae1e87-47e3-4ef2-96f7-c247b990f69b,Vitals,Internal,4.5,15-12-2022,24-08-2024
f2295ce6-dafd-4136-9e0b-b23929ad9e69,ec794cf5-db73-495c-b537-9f04a4838730,8cbb3524-e37f-4bec-a1ee-3fea91656d03,Internal Audit,Patient,3.4,15-09-2022,27-10-2023
a1af7f18-4761-427a-90c9-ee9249e25dd2,0771df48-3857-48af-8640-516b3af6ef00,40a96a05-05e0-422b-8d35-6cd8b01287bb,Internal Audit,Peer,3.1,24-01-2021,05-09-2021
436283b6-42a0-4159-a1cd-78e77806eda5,8b56088e-3c02-429e-b522-586325be2907,ea30e990-25cd-43ad-8ecb-aad024e0c5f9,Vitals,Patient,4.6,24-11-2023,12-03-2024
8713d2de-3347-4614-844d-ee6010b25c59,0d3f7937-cc5a-4d6f-83b9-4e07cdc35479,bbde9306-3d9d-4437-9339-7ece5ca65f94,Internal Audit,Patient,2.2,06-11-2020,24-09-2022
03b08bb1-d994-4100-8628-880e7ebb0470,d075e02a-594b-4d20-ad16-fb60423c3498,c80017ed-0d08-4543-b284-dc5ec589c9aa,Healthgrades,Patient,2.7,20-06-2022,05-04-2023
ed3cb0ae-2760-4360-ab40-a2be6f620801,405cb933-321d-435a-92cf-3d95f160f3dc,6ff8774a-7edc-4480-b5b0-e996d948f370,Healthgrades,Patient,2.9,08-11-2022,26-12-2022
42d4f876-03c0-4f9c-912e-20be151fd7e5,40993c5a-fcc2-4818-a7be-96b4b22239ec,a42c1b71-be96-4983-b949-5722d535fd7e,RateMDs,Internal,4.3,10-01-2024,05-03-2025
9886c72d-1fc1-44c0-845f-3a9a92a77f43,b51b3ebc-1c24-4efd-8020-60b6f42fdf8d,0ca11a56-d79d-4ad4-a066-6c8473a8f77f,Internal Audit,Internal,4,03-06-2021,09-08-2022
fed25fe2-c75f-467a-be46-616ba90acab8,df0d3f76-78c9-453f-b23a-d61d895a7b8a,e9f4400d-ca70-497a-ba76-edb02a5f462e,Healthgrades,Internal,3.7,09-12-2021,03-04-2022
4a698fba-d617-46fb-8e4c-b812a6e71539,85473c77-2574-44b8-b979-114e5107f22a,e83d3d93-5273-46cc-b4bd-a78fd291e9dd,Healthgrades,Internal,2.4,18-03-2023,18-02-2024
31a9541b-7509-47fa-9042-b4d35fd9447d,f5aa8ddf-9655-43aa-ab30-e0172eea0828,645a5ea3-4694-455b-b82d-56a7bc125de7,Healthgrades,Peer,1.2,09-03-2023,26-10-2024
e6974bb7-38aa-49a1-aa02-87e5404ec803,ecf652f9-46ca-497a-88e5-a2042b76f9a2,ac9dfba8-afec-44f0-b225-b203ccbd692e,Healthgrades,Internal,4.9,09-09-2022,09-10-2022
5e2399db-4638-4396-b023-db005290345f,58eab510-fcba-4b11-8292-ff57f85b240b,f3dbe358-5f4a-4896-b00a-5fb3c5496c13,Vitals,Patient,4.4,27-12-2020,18-10-2021
89b43949-37be-4f1f-be73-8a045b5e8c0f,03d8303d-b678-4220-a8d7-f0d3863e9fe0,a29e208e-f348-4b67-880f-0f71792d3275,RateMDs,Internal,2.3,17-05-2024,18-05-2025
c3584ac5-4add-4c1d-90df-ebddfb3250b4,80069fb2-8c38-42a5-8488-01f7b93bd013,be1879ab-bb23-4991-85c3-a9ac92c90d9e,Healthgrades,Patient,2.6,21-03-2024,21-04-2025
8178ce8d-0012-4322-85c3-caed33748d0c,405e62cc-620e-482c-a26b-470e25687be3,1a888658-46c2-445a-a6ef-7e0954f52591,Healthgrades,Patient,3.1,07-07-2020,08-10-2020
8ddef00e-fd23-419c-9f15-eb4ff59be99d,3bdec61b-b1d7-4f6d-bc5f-8a873bb6eced,54fbc4d6-807e-470a-bc66-6babf88fcf2e,Internal Audit,Patient,2.2,06-01-2021,26-01-2023
33ac9cb4-9880-4130-a0f9-abafcf9050f6,aebb84d3-5c79-4921-ae0a-4e6dd3fae96d,8ddcccb0-3c96-495e-82db-c1fa7cf166c1,Vitals,Patient,2.7,18-12-2021,14-01-2023
2408728a-2e01-4657-9b3f-aa72989d420a,c4fe0c44-1ce7-431f-830b-0ffd5ef44067,ac186636-faea-4087-bba4-c215b5570ac1,Internal Audit,Patient,2.8,13-10-2022,11-08-2024
9b82578c-0141-49e5-b9f4-4a840599f382,3a74387c-cade-4433-8bd3-157412b302a8,14e08277-6aa0-4826-897f-69452d28ec90,Vitals,Internal,3,20-12-2023,02-07-2025
08ba290e-0a1a-47e4-a9b4-15a3cd4bb1a5,e46571fe-07e4-45a6-893d-f07cd9dd9117,6d0e5357-4972-4750-9da8-8aa72f3a1ce6,Vitals,Peer,3.6,19-07-2021,08-03-2024
b9036abd-56ed-4514-88ad-61c756d36d15,7ef37887-1877-4be9-86f2-c6fceca52d5a,706fffe4-42f7-4d0a-86ea-d7e653c195b8,Healthgrades,Peer,3.9,02-02-2023,02-07-2025
f5fe80dc-7904-425b-adaa-b89e468fafed,58983713-d051-4e41-98b9-1ad68d3d9522,8632ac34-5faf-43b3-ab13-70529d650339,Vitals,Internal,4.3,20-02-2024,02-07-2025
302bb9b4-1611-4669-b370-2b85fbeccd9d,a5bab3fc-694f-4dc5-85b1-05a5ad78a7af,fad8f595-9e12-4778-a69f-19248de1b418,Internal Audit,Peer,4.1,27-01-2021,13-06-2021
2ef7841a-8ff1-47b7-9051-98611c534324,2d8659ca-c760-4839-8ddd-4f7e25de2bc7,86bdc580-f76d-47ed-9170-f8ff3f00e4a3,Internal Audit,Patient,1.5,21-12-2022,05-08-2023
0f6082fc-d370-4d54-917b-814e3d7899a6,58c398f7-0812-4e97-8a0b-bcfe1b5dbf21,3be14a68-afd6-4059-a5c8-352fe2a8b6dc,RateMDs,Peer,4,09-10-2022,02-04-2024
ee4730dd-cb2c-4b72-ba9b-317ade626a37,520bc35d-cdd1-4007-b1af-7bd374e41250,c438f118-7ff4-4627-ab1d-149b66966904,Healthgrades,Patient,4.4,06-09-2022,08-05-2025
1d98b829-3609-434b-8717-79d6280055a1,61003682-6150-4367-9417-7b2cfdfbe9b8,ac6063fd-465b-47af-a15b-41441d3a56d6,Internal Audit,Patient,1.4,18-03-2022,21-11-2022
4b86e352-490d-459a-8b85-976ee303adb0,796228d5-1e00-4e63-b294-a519bed89701,2afb84f9-0e07-4ba1-86fc-890c49f855d3,Vitals,Patient,4.8,21-11-2021,03-06-2022
1db2a7ba-512b-475c-93c5-9fb9fb891c91,62451773-ac86-4ce6-a61d-3ace3ba77955,26159d57-ab8f-4703-aee7-a1b439c0b1cf,Internal Audit,Internal,4,15-11-2020,28-05-2022
33eeae17-1c0c-4d30-bef8-a4779b69f18a,92f56086-f0c7-4792-b7ea-925d2657d2f6,a825dcfe-2254-4d46-89f9-8c6e48a7cf7f,RateMDs,Peer,1.6,28-02-2022,28-10-2023
92a74178-df22-4a9c-98b4-bbb654265898,4cd5d6ac-e0ca-4945-a5e9-f2e3105bffa9,2de44a12-d648-4bde-b4d0-6776d5d0bf38,Internal Audit,Peer,3,30-01-2024,02-07-2025
d3956a97-8579-4175-bd5b-b1b10e1b8f92,dd813dc4-1366-4aa3-ae19-8499e145c826,d7ba997b-f292-4625-b583-068595e1a0d7,RateMDs,Internal,4.7,21-11-2022,17-06-2024
a3fbafd9-efb9-454c-8c5e-f6b012ad0c2f,6a111c9f-f2c2-4e07-be66-8c8cad8ea67c,5f02c308-5da6-47f7-a113-e45eaf7f7ffb,RateMDs,Patient,1.9,01-01-2023,23-07-2024
b05f3e6e-bf0f-47cc-8e79-1561dd1915b2,f5cf9a2c-f1ed-435f-97da-8d9713e2293b,aaed8353-2f50-4b7f-bf68-4d8fd3ba3020,Healthgrades,Patient,1.2,31-07-2021,23-06-2022
640ca0b8-aad6-49c3-b2a9-47e7c633232f,b0956c5b-d918-4445-94fa-3890e7f4aeac,50a6ff29-fa0d-4671-a7a2-416f0803ccdc,Vitals,Peer,4,06-04-2022,28-08-2024
0ae0b3bc-0b20-4505-8266-30ddc5cd79f9,5effb935-5090-4af6-a276-6f49028efa7f,0c4ded9b-e510-4c0c-aa5e-6fda718f67ee,Internal Audit,Internal,2,01-04-2024,07-04-2025
9e6864d8-dc0e-4a88-b871-0983eef4003e,afbb8da0-1ad9-4e9b-8eb4-59c02959cc3f,2da8f243-2d8b-44fd-aaed-9486c654c1dd,Healthgrades,Patient,2.1,25-06-2021,06-04-2023
fef23006-d5a6-4cc0-8a65-c0e72af0f020,88229580-f7e9-4e95-8add-135709284134,b87c32d2-05d5-4c4c-863e-b78425f8b878,RateMDs,Patient,2.8,17-12-2023,02-07-2025
4f3d98f8-9029-4244-a14c-3663ab3f8243,b3ce6a89-ee48-4fd0-b4e5-a897d7fe4544,212003d7-9b6a-402a-8812-1f89eba5bc01,RateMDs,Internal,1.2,21-02-2024,02-07-2025
b0d6a30c-44b8-48c7-83e2-f5e78006500f,63e6f90b-6c5e-4228-83b8-c77f9db76e8c,2de845ec-fa53-4027-8e76-7d7568802e7a,Vitals,Peer,3.2,20-03-2024,02-07-2025
