AddressID,ProviderID,ProviderAddressType,ProviderAddressLine1,ProviderAddressLine2,ProviderAddressLine3,ProviderCity,ProviderState,ProviderCounty,ProviderCountry,ProviderZIPCode,ProviderLatitude,ProviderLongitude
03d03f92-7d60-40f4-91ec-c9f9418b821b,9cce144a-a1e2-4d09-b5c5-6af3c93c2ef3,Mailing,293 Elliott Ports Apt. 214,Suite 523,238,Muellerchester,NJ,Morris County,United States,07441,41.358275,-74.393356
61e5dd32-152d-4f3c-8a7a-7409fe26adcf,6de87d10-a676-40a6-8f74-fe5f86a68327,Mailing,18030 Brown Forest Suite 964,Apt. 941,313,Kimberlyville,NJ,Burlington County,United States,07188,39.524754,-74.485621
64ebce1f-e850-4547-bf59-e78ca224ecde,b1f9f8b9-d074-4bde-9de1-56ee5f807ded,Mailing,71537 Robert River,Suite 722,051,East Crystal,NJ,Mercer County,United States,08325,41.294443,-74.740955
6f25ab1d-0606-4b43-b3a2-aecff75962d4,22f83106-4e2d-4c64-8d94-af4b260aaa4f,Billing,6166 Lopez Loop,Suite 756,905,Snowview,NJ,Union County,United States,08314,40.833127,-74.73907
4e1b25e7-b044-47ca-916b-c34bfafeb010,70e78c27-6acc-4f4e-b68e-d6a19e4df317,Mailing,00393 James Radial Suite 120,Apt. 797,045,Amandaside,NJ,Morris County,United States,08209,39.89754,-75.113145
0fdcb405-3f05-4bae-bf0d-43c4ddde4ae7,ec794cf5-db73-495c-b537-9f04a4838730,Billing,64924 Turner Rapid Apt. 147,Apt. 862,50598,Holmesview,NJ,Passaic County,United States,07976,39.794549,-74.314761
5a2192ff-a0ea-4802-9148-5500c845a6e9,0771df48-3857-48af-8640-516b3af6ef00,Billing,0338 Robert Way Suite 325,Apt. 022,04501,North Marymouth,NJ,Mercer County,United States,08439,40.151885,-75.341039
277f5d90-cbcd-4218-a39e-7f5e14741dae,8b56088e-3c02-429e-b522-586325be2907,Mailing,801 Harvey Alley,Suite 671,0143,Port Cameron,NJ,Essex County,United States,08952,39.274365,-75.044006
7d7b76b6-d30b-49cf-a640-23487c9412bc,0d3f7937-cc5a-4d6f-83b9-4e07cdc35479,Mailing,556 Martinez Parks,Apt. 904,401,West Aaron,NJ,Camden County,United States,08821,41.300143,-74.439323
fe0cde5b-fa2a-4792-9a9b-71a29742c352,d075e02a-594b-4d20-ad16-fb60423c3498,Mailing,09600 Snow Streets Suite 022,Suite 738,33059,Port Angelica,NJ,Bergen County,United States,08975,40.388255,-74.580069
03352bca-1965-442e-b849-a06b6a639a29,405cb933-321d-435a-92cf-3d95f160f3dc,Mailing,4454 Whitney Harbors Apt. 021,Suite 267,5334,New Jessica,NJ,Bergen County,United States,08194,40.489187,-74.944917
40b4572e-77e7-47ce-84c8-56eea483a0ec,40993c5a-fcc2-4818-a7be-96b4b22239ec,Mailing,6190 Cory Row Apt. 140,Suite 488,26237,West Brendan,NJ,Camden County,United States,07523,40.218306,-74.292917
6e30e510-67d0-4ef4-8835-613d6de20273,b51b3ebc-1c24-4efd-8020-60b6f42fdf8d,Mailing,8126 Brown Alley Suite 382,Apt. 199,208,North Shawnaborough,NJ,Hudson County,United States,07104,40.859948,-75.072916
