ProviderLocationID,ProviderID,ProviderAvailabilityDayOfWeek,ProviderAvailabilityStartTime,ProviderAvailabilityEndTime
167bb7b0-e9ee-492e-ada1-7d60fab3ba3d,9cce144a-a1e2-4d09-b5c5-6af3c93c2ef3,"{Mon,Wed,Sat}",9:00 AM,5:45 PM
33b0430e-9bc8-43c8-907f-611829906882,6de87d10-a676-40a6-8f74-fe5f86a68327,"{Tue,Thu,Fri}",9:00 AM,6:30 PM
65505164-f173-4215-9e54-b82ebe8f18c9,b1f9f8b9-d074-4bde-9de1-56ee5f807ded,"{Mon,Tue,Thu,Sat}",9:00 AM,6:30 PM
49c2ed3d-004f-4ad8-a8b9-6af723074b57,22f83106-4e2d-4c64-8d94-af4b260aaa4f,"{Mon,Tue,Sat}",9:00 AM,6:30 PM
153f4678-0591-471f-b758-48e139d0da4b,70e78c27-6acc-4f4e-b68e-d6a19e4df317,"{Mon,Wed,Thu,Sat}",9:00 AM,6:30 PM
08a39d51-7bfc-4724-94fc-c457ea6efe58,ec794cf5-db73-495c-b537-9f04a4838730,"{Mon,Tue,Thu,Fri,Sat}",9:00 AM,6:15 PM
6783c1e6-d00b-4d42-9c97-66721404f85c,0771df48-3857-48af-8640-516b3af6ef00,"{Mon,Tue,Wed,Thu,Fri}",9:00 AM,4:15 PM
0457e113-2c74-46f7-9175-783d31226064,8b56088e-3c02-429e-b522-586325be2907,"{Mon,Tue,Wed,Thu,Sat}",9:00 AM,4:15 PM
3d2c241b-4abb-4808-9f70-93079132771f,0d3f7937-cc5a-4d6f-83b9-4e07cdc35479,"{Mon,Tue,Wed,Thu,Fri}",9:00 AM,5:30 PM
0192e1e2-3b90-4773-955b-9f3f5b2af722,d075e02a-594b-4d20-ad16-fb60423c3498,"{Tue,Wed,Fri}",9:00 AM,5:00 PM
48eddcb0-04c4-4e46-89d0-60cdc9569b6e,405cb933-321d-435a-92cf-3d95f160f3dc,"{Mon,Wed,Thu,Fri,Sat}",9:00 AM,6:45 PM
5cbd6fe5-5f2f-464c-a1ee-31198f0918df,40993c5a-fcc2-4818-a7be-96b4b22239ec,"{Wed,Fri,Sat}",9:00 AM,4:00 PM
8688fe2d-1cc0-4e45-8dbb-20f37e776bcd,b51b3ebc-1c24-4efd-8020-60b6f42fdf8d,"{Mon,Wed,Sat}",9:00 AM,6:15 PM
af40cc44-3651-44a4-9e17-a4da971b677a,df0d3f76-78c9-453f-b23a-d61d895a7b8a,"{Mon,Tue,Wed,Thu,Fri}",9:00 AM,6:45 PM
9234d60c-4b9e-4a23-9921-9210663a721b,85473c77-2574-44b8-b979-114e5107f22a,"{Mon,Tue,Thu,Fri,Sat}",9:00 AM,6:30 PM
f55f3214-e4f8-4cbb-9b0d-be8a904f48ef,f5aa8ddf-9655-43aa-ab30-e0172eea0828,"{Mon,Tue,Thu,Fri}",9:00 AM,6:45 PM
def4105b-d653-4084-bce8-b7501ae454e5,ecf652f9-46ca-497a-88e5-a2042b76f9a2,"{Mon,Wed,Thu,Sat}",9:00 AM,5:15 PM
b66c4d5b-896e-498d-adb8-8e4e4037d848,58eab510-fcba-4b11-8292-ff57f85b240b,"{Tue,Wed,Fri,Sat}",9:00 AM,6:45 PM
b1fa416e-358c-4b34-800c-af86a793c255,03d8303d-b678-4220-a8d7-f0d3863e9fe0,"{Mon,Wed,Thu,Sat}",9:00 AM,4:15 PM
c304b82b-74e9-4b9d-8857-42bdb1086c39,80069fb2-8c38-42a5-8488-01f7b93bd013,"{Tue,Wed,Thu,Sat}",9:00 AM,6:45 PM
fbbc1ada-f039-4851-ac93-1fea2784c1a7,405e62cc-620e-482c-a26b-470e25687be3,"{Thu,Fri,Sat}",9:00 AM,6:45 PM
00a3a076-4c1f-4632-adf4-05cc848ba6f5,3bdec61b-b1d7-4f6d-bc5f-8a873bb6eced,"{Mon,Fri,Sat}",9:00 AM,5:15 PM
3807b911-c3ba-4967-b44d-d34eb3138ee9,aebb84d3-5c79-4921-ae0a-4e6dd3fae96d,"{Mon,Tue,Fri,Sat}",9:00 AM,6:15 PM
3ea30048-3727-4d14-9550-3e9fa84206c4,c4fe0c44-1ce7-431f-830b-0ffd5ef44067,"{Tue,Wed,Thu,Fri,Sat}",9:00 AM,5:15 PM
bfc4fe60-9d28-4a38-8092-15da3eca12ef,3a74387c-cade-4433-8bd3-157412b302a8,"{Mon,Tue,Wed,Thu,Sat}",9:00 AM,6:00 PM
4d16a1c8-9a63-47d3-bbc7-dcda4ecd046e,e46571fe-07e4-45a6-893d-f07cd9dd9117,"{Tue,Wed,Sat}",9:00 AM,5:00 PM
9a89e8cc-7dd5-4c5e-a5e8-29a3a94a1455,7ef37887-1877-4be9-86f2-c6fceca52d5a,"{Tue,Wed,Thu,Sat}",9:00 AM,4:00 PM
2dab5fe3-4182-4a0f-a426-40d788fd9afb,58983713-d051-4e41-98b9-1ad68d3d9522,"{Mon,Tue,Fri}",9:00 AM,6:45 PM
2591d843-08eb-4e55-9dbf-daa5d4b2941f,a5bab3fc-694f-4dc5-85b1-05a5ad78a7af,"{Mon,Wed,Thu,Fri}",9:00 AM,5:15 PM
966f2560-1a3c-4c79-b198-b59516aeeb9a,2d8659ca-c760-4839-8ddd-4f7e25de2bc7,"{Tue,Fri,Sat}",9:00 AM,6:00 PM
15d3173a-8bc6-4fe2-92b9-817021f48ea6,58c398f7-0812-4e97-8a0b-bcfe1b5dbf21,"{Mon,Wed,Fri}",9:00 AM,6:45 PM
b5ac4f95-9e5d-4b1b-a65b-69364db10412,520bc35d-cdd1-4007-b1af-7bd374e41250,"{Tue,Wed,Fri,Sat}",9:00 AM,6:30 PM
fc04390d-51d0-47f0-88b6-28a440c1d841,61003682-6150-4367-9417-7b2cfdfbe9b8,"{Wed,Fri,Sat}",9:00 AM,6:15 PM
204dfcad-ae40-44c6-8d88-0ebea039432e,796228d5-1e00-4e63-b294-a519bed89701,"{Wed,Thu,Sat}",9:00 AM,4:00 PM
d83f1ebf-a719-487a-9a28-2a5b2a1d0211,62451773-ac86-4ce6-a61d-3ace3ba77955,"{Mon,Wed,Sat}",9:00 AM,5:15 PM
696ad0bb-311e-4a8e-8a7f-a9c60e873192,92f56086-f0c7-4792-b7ea-925d2657d2f6,"{Mon,Wed,Thu,Fri}",9:00 AM,6:15 PM
2693c7ae-628a-41c9-ae89-967f2de9cd1d,4cd5d6ac-e0ca-4945-a5e9-f2e3105bffa9,"{Mon,Tue,Thu,Sat}",9:00 AM,4:00 PM
a18c5b05-f970-413d-9b7e-5cb27f3ca5b4,dd813dc4-1366-4aa3-ae19-8499e145c826,"{Tue,Thu,Fri}",9:00 AM,6:00 PM
ec452d60-ff9e-4a8a-8738-9d4c2b19fef6,6a111c9f-f2c2-4e07-be66-8c8cad8ea67c,"{Mon,Tue,Wed,Thu,Sat}",9:00 AM,5:30 PM
7a41299b-6f93-40cb-b0e8-9bc7b1f6ea2e,f5cf9a2c-f1ed-435f-97da-8d9713e2293b,"{Mon,Thu,Sat}",9:00 AM,6:00 PM
98defdda-5ab8-4ae9-886d-069f6d4f929a,b0956c5b-d918-4445-94fa-3890e7f4aeac,"{Tue,Wed,Thu,Fri}",9:00 AM,5:15 PM
105f4c9f-42a7-4ca8-b64a-8d7f52f54d1c,5effb935-5090-4af6-a276-6f49028efa7f,"{Mon,Tue,Wed,Sat}",9:00 AM,5:45 PM
c247e3fc-38d9-4aed-bcee-a3ae3a8caabf,afbb8da0-1ad9-4e9b-8eb4-59c02959cc3f,"{Mon,Tue,Wed,Fri,Sat}",9:00 AM,4:30 PM
49af8cfa-d686-4fe4-82b3-48a4af5d6b90,88229580-f7e9-4e95-8add-135709284134,"{Mon,Wed,Thu}",9:00 AM,4:30 PM
6b7e4b96-2249-4df3-9dfd-fbb81e006b96,b3ce6a89-ee48-4fd0-b4e5-a897d7fe4544,"{Mon,Tue,Wed,Thu,Sat}",9:00 AM,5:45 PM
90cee8d0-f2fb-41c4-96ab-a1e2dc16f698,63e6f90b-6c5e-4228-83b8-c77f9db76e8c,"{Tue,Wed,Thu,Fri,Sat}",9:00 AM,6:45 PM
4b096c47-b392-488b-8355-9e3b1e019cd6,b4ed3446-cb1e-472c-91a8-1749ec3b4891,"{Mon,Tue,Wed,Fri,Sat}",9:00 AM,5:45 PM
bd2fedeb-c27d-4171-b261-1c6ca3099552,f30d824a-7137-4ceb-8e9e-db40ab2f349d,"{Mon,Wed,Thu,Sat}",9:00 AM,4:15 PM
b176017a-b85b-48e6-ab8e-759e98d02f96,fa4a3ba4-8f7c-4178-b69d-eb516023717d,"{Mon,Tue,Thu,Fri}",9:00 AM,6:15 PM
2e29bed1-12ae-40b3-9e31-4309bba0b087,d2e1594a-3439-498b-8160-5e22c0316398,"{Tue,Wed,Sat}",9:00 AM,5:00 PM
965d202e-3517-4405-825e-88d6ef2b9bb0,be65a248-e6b2-4e58-b809-3c57948d5a80,"{Tue,Thu,Sat}",9:00 AM,6:15 PM
70d65e62-bfe4-44d9-80c7-886bef2c94fb,36837759-3a72-46ef-a614-4dfa96ca523c,"{Mon,Tue,Wed,Thu,Sat}",9:00 AM,6:15 PM
b467db78-2e95-4788-8804-54179511d36b,7ced3223-39e9-4665-846d-a318da87ab19,"{Tue,Wed,Fri}",9:00 AM,5:00 PM
63f85b30-5715-4383-a781-091cb7740f3d,38407f8a-0d16-42f1-8a34-4c29cf9de508,"{Mon,Tue,Wed,Thu,Fri}",9:00 AM,4:15 PM
829a56ca-0f44-4846-93f0-58b48b4bd733,37c27e78-fad2-428b-864e-0018499a4697,"{Mon,Tue,Thu,Fri,Sat}",9:00 AM,6:30 PM
7607a0a9-34fe-4eaf-b8ac-2cf02b191c40,ebb44c98-2f95-4fe7-8b6a-f91face14769,"{Mon,Tue,Thu,Sat}",9:00 AM,5:30 PM
e2e9c9e4-5d55-41ad-a5bb-8537947ef4c5,011d7b5d-c89c-4fde-9c5d-fc1bf1ea87b9,"{Tue,Thu,Fri,Sat}",9:00 AM,5:00 PM
981db551-a04a-498e-ad36-990ce5440e84,e2899908-098d-452a-94be-6e2f38caa0bc,"{Mon,Tue,Wed,Thu,Sat}",9:00 AM,4:00 PM
a48f5ca2-3f5d-4903-a3b6-b227ce49bf7c,4aa85d29-41e8-47ea-97eb-71600e185ee5,"{Tue,Wed,Thu,Fri,Sat}",9:00 AM,4:00 PM
6124dbea-e6f6-4bff-a743-71ee43d6e38f,14b842b1-8da0-407b-aa05-bcc4a1bc9d72,"{Wed,Fri,Sat}",9:00 AM,6:00 PM
5ba7eb64-9cbf-4274-9cd8-65e70e99655a,7554c3ea-f22e-434b-8017-72f8ee6b8e23,"{Mon,Tue,Wed,Thu,Sat}",9:00 AM,5:00 PM
f94e1582-c49e-48c7-9bad-afd2b7e9c934,a5df2d84-41bf-4028-8a8c-c8d45e266b6a,"{Tue,Wed,Thu,Fri,Sat}",9:00 AM,4:30 PM
8775831d-8978-42c1-bf1e-f680cbb12109,34a96adf-668c-4569-a77f-8e1ca34dab28,"{Mon,Wed,Thu,Fri,Sat}",9:00 AM,5:45 PM
2645d3fc-c418-4bbc-9eff-8a2ec21f8f29,54103731-fb3d-4b97-b839-596c2f0c25a9,"{Mon,Tue,Wed,Thu}",9:00 AM,4:45 PM
82a3ef85-2938-4927-bddb-4de1fa4708a1,5936c7c4-9c23-4a2e-8c91-32234e59f6b6,"{Mon,Tue,Sat}",9:00 AM,4:15 PM
8d2fe18f-ef17-4c24-a126-5703a1422db9,3a94d889-00fa-476d-b70c-20047cfd251f,"{Mon,Tue,Fri,Sat}",9:00 AM,6:45 PM
88e19fcb-fa2a-48b2-871a-07f4dad3a79a,aa979b99-077d-4dda-afaf-01c76d36a4cd,"{Mon,Tue,Thu,Fri,Sat}",9:00 AM,6:00 PM
7fcb0e7a-4e0a-4a34-9086-db5f390b7f86,f4c2883a-a780-4540-9081-bb613d5f3016,"{Mon,Tue,Wed,Thu,Sat}",9:00 AM,5:00 PM
21b18c1f-3c74-49ae-bda8-c32ffde8ca98,f1a69259-1d65-4c0c-ae58-9422a6091ae7,"{Mon,Tue,Wed,Thu,Sat}",9:00 AM,4:45 PM
a2e8b4f0-eda7-4cca-9b45-692490fc4b69,d36a0892-ba61-40d3-a3cf-912ecb58ed55,"{Mon,Tue,Thu,Fri}",9:00 AM,6:45 PM
0d4a6f4e-d792-446e-a156-bba05ab1dbce,0198128f-da8c-4281-a7b9-a722de37368d,"{Mon,Thu,Fri,Sat}",9:00 AM,6:15 PM
9d8b0340-5cc8-4c2c-9dfd-a0de16ca0864,b5e0b7d5-751f-48f8-9d44-ab68d80a338b,"{Mon,Thu,Fri,Sat}",9:00 AM,6:45 PM
792b0782-ae6a-4e32-9b14-30089fd3491b,d03275de-9296-442e-8b34-34d3bb5ddc7d,"{Mon,Tue,Thu,Fri,Sat}",9:00 AM,5:00 PM
776f59f0-c045-4e47-b237-fcba42a3659f,2a25c33b-675b-43f1-a48c-6362037563fd,"{Mon,Wed,Thu,Sat}",9:00 AM,5:00 PM
7642cba3-b531-432b-bec3-3ceb640656b0,364ead85-392c-4378-94d9-c1f1964b4aff,"{Tue,Wed,Thu,Fri}",9:00 AM,6:45 PM
764e6ec7-e470-47e3-9c11-04091b257632,3de6cced-f8b0-45ac-b037-9260238186c0,"{Tue,Wed,Thu,Fri,Sat}",9:00 AM,4:45 PM
be0b435b-1835-4ccd-aa18-a7957ec739cf,e30a1cf7-f0ca-44a5-bb4b-ef60a3a87d6d,"{Mon,Wed,Thu,Fri}",9:00 AM,4:30 PM
fcd48c70-9248-4de2-b19d-b6f8d94d3706,dc07e21c-7de9-4473-b863-0e76bdb4aad3,"{Mon,Thu,Sat}",9:00 AM,4:15 PM
4e3a4ab0-b1ae-4c71-8096-0c23a80d69a3,63c1158c-6dd8-43b6-afa3-eeca8312126f,"{Wed,Fri,Sat}",9:00 AM,4:30 PM
d94f3de4-2430-4ee3-81f8-3b0988159322,78d36cbe-4fd6-4af6-911d-a62ff72dfdad,"{Mon,Wed,Thu,Fri,Sat}",9:00 AM,4:15 PM
a43285f5-c2ef-4d99-9b81-25fe7da63139,905ea4e8-7d2b-49b9-8d76-2be6b9cf710e,"{Mon,Tue,Wed,Thu}",9:00 AM,5:15 PM
8c12465f-8ca6-462c-8cde-30ad1e704cc5,0e646161-1d19-4b8b-bbdd-dbc4af838eca,"{Mon,Tue,Thu,Fri,Sat}",9:00 AM,5:30 PM
