LanguageRecordID,ProviderID,LocationID,ProviderLanguageID,ProviderLanguage,ProviderLanguageStartDate,ProviderLanguageEndDate
022c8b02-04ce-4751-899e-acdd5559ff80,9cce144a-a1e2-4d09-b5c5-6af3c93c2ef3,167bb7b0-e9ee-492e-ada1-7d60fab3ba3d,42b3201c-d4b4-4afe-b3d8-285f5b5d5252,"{Korean,Arabic,Portuguese}",17-11-2017,
10ebbba0-6451-4f26-893e-667c34b8bb5d,6de87d10-a676-40a6-8f74-fe5f86a68327,33b0430e-9bc8-43c8-907f-611829906882,9c94377a-aeee-4568-8006-6f8674e1320a,"{English,Hindi}",17-03-2016,09-03-2023
83e389ea-b870-4bd9-85b0-4442559b382a,b1f9f8b9-d074-4bde-9de1-56ee5f807ded,65505164-f173-4215-9e54-b82ebe8f18c9,81f76218-8be7-42c6-8e29-b2f0c1bb931e,"{Arabic,Russian}",31-01-2019,21-06-2024
5203dafe-1f5b-411e-9dc1-f00134481a58,22f83106-4e2d-4c64-8d94-af4b260aaa4f,49c2ed3d-004f-4ad8-a8b9-6af723074b57,f6624db3-1e05-4d4b-8762-72b4fe632383,{Portuguese},03-09-2021,
144862f2-80c7-463d-bd39-aab12e397a33,70e78c27-6acc-4f4e-b68e-d6a19e4df317,153f4678-0591-471f-b758-48e139d0da4b,f4786df1-b02f-4ddd-8089-3dd570646f26,"{Arabic,Portuguese}",22-04-2020,
9f62e3d1-1c04-4109-b1d4-5fbc6125a41c,ec794cf5-db73-495c-b537-9f04a4838730,08a39d51-7bfc-4724-94fc-c457ea6efe58,eb4a6fda-8cf4-4874-bb08-6ddbe70376c8,{German},13-03-2018,
ba692873-6bed-4116-aa19-503faeca6b7b,0771df48-3857-48af-8640-516b3af6ef00,6783c1e6-d00b-4d42-9c97-66721404f85c,d89efd27-0888-4e90-8175-5fabf4088719,{English},26-01-2017,
639ec4fc-cd92-4f12-996f-94f3161282f3,8b56088e-3c02-429e-b522-586325be2907,0457e113-2c74-46f7-9175-783d31226064,69cfea2b-74a3-4227-a03a-84df32482534,{Chinese},09-05-2016,
41d7040f-fddb-4748-a1e3-c02aad150ab6,0d3f7937-cc5a-4d6f-83b9-4e07cdc35479,3d2c241b-4abb-4808-9f70-93079132771f,6e4ae0b8-c9b5-4028-b1a1-47c9ab153642,"{French,Vietnamese,Russian}",26-03-2018,
a6777967-44e4-4fa2-9f0e-80a4b7db4204,d075e02a-594b-4d20-ad16-fb60423c3498,0192e1e2-3b90-4773-955b-9f3f5b2af722,d2f0c029-35d6-4668-94c6-dc044d60ac88,"{Portuguese,Persian (Farsi),Hindi}",10-09-2022,
7c0a9e3d-946a-4a08-a3a7-6e724cf67392,405cb933-321d-435a-92cf-3d95f160f3dc,48eddcb0-04c4-4e46-89d0-60cdc9569b6e,2ad91f02-f11a-488e-8bd9-72e396b19082,"{Tagalog,Russian,German}",06-04-2016,
7a8e8788-b553-4ac1-b080-e7a084a97664,40993c5a-fcc2-4818-a7be-96b4b22239ec,5cbd6fe5-5f2f-464c-a1ee-31198f0918df,f44ae714-79cd-47c7-91be-e6aa30422c6c,"{Arabic,Portuguese}",30-06-2021,
487676dd-e09f-455d-a75f-9750ac82ca62,b51b3ebc-1c24-4efd-8020-60b6f42fdf8d,8688fe2d-1cc0-4e45-8dbb-20f37e776bcd,3e4da25b-c16c-4614-b0dd-0425127c2995,"{English,Arabic,Portuguese}",14-03-2019,
bad05f3c-53ac-4278-9011-25c3be540c5e,df0d3f76-78c9-453f-b23a-d61d895a7b8a,af40cc44-3651-44a4-9e17-a4da971b677a,8064c619-54f9-46b3-b7c7-cb5f57c9bfc8,{Japanese},22-11-2018,
f9f1fb72-9439-4c92-8734-bf470dd1eb1c,85473c77-2574-44b8-b979-114e5107f22a,9234d60c-4b9e-4a23-9921-9210663a721b,3349cc71-5420-479a-b415-a439018afa12,"{Chinese,Tagalog}",24-02-2017,
2b5e140c-7b4f-46d4-9e40-2775b727979a,f5aa8ddf-9655-43aa-ab30-e0172eea0828,f55f3214-e4f8-4cbb-9b0d-be8a904f48ef,8d98b2b8-0045-4418-8966-f1b50872018c,"{French,Polish,Arabic}",13-02-2017,20-11-2019
c6e2ccf1-bc82-4bc7-a1d8-04401063ca05,ecf652f9-46ca-497a-88e5-a2042b76f9a2,def4105b-d653-4084-bce8-b7501ae454e5,62ccfc07-0c50-47fe-8651-f2faeb38b27b,"{English,Korean,Portuguese}",27-11-2021,
896988d9-0caa-4471-828c-e0ba0bb69446,58eab510-fcba-4b11-8292-ff57f85b240b,b66c4d5b-896e-498d-adb8-8e4e4037d848,163cdd24-25d0-44e2-8076-fdd7141489f4,{Russian},29-03-2024,
a68e6e9a-d286-4ae1-8760-2833e5bd5fde,03d8303d-b678-4220-a8d7-f0d3863e9fe0,b1fa416e-358c-4b34-800c-af86a793c255,03cb1bf6-e737-462c-a89a-350401b3acad,"{Russian,Polish}",09-08-2018,17-01-2023
f67ca661-3fca-43c3-9c65-1caeeeb6c995,80069fb2-8c38-42a5-8488-01f7b93bd013,c304b82b-74e9-4b9d-8857-42bdb1086c39,33e74435-96ae-404c-bf19-77bc6762d5c0,{Russian},20-10-2017,05-07-2022
05b76aca-4ef6-4af6-ac19-a6cb04a3ee17,405e62cc-620e-482c-a26b-470e25687be3,fbbc1ada-f039-4851-ac93-1fea2784c1a7,5cbe54c7-c71a-47d6-b7d3-cc33c8a840b1,"{Portuguese,Hindi,English}",12-05-2019,
d080b803-c7bd-4635-8566-ea97efdb318e,3bdec61b-b1d7-4f6d-bc5f-8a873bb6eced,00a3a076-4c1f-4632-adf4-05cc848ba6f5,52ee196e-e7fd-49fc-8392-948b450383ac,"{English,Chinese}",01-12-2016,
9598f6d2-9310-4609-a24d-bc969acf2e43,aebb84d3-5c79-4921-ae0a-4e6dd3fae96d,3807b911-c3ba-4967-b44d-d34eb3138ee9,4e3ded22-a042-436b-b09b-f9a51848f008,"{German,Persian (Farsi),Korean}",10-01-2017,16-01-2023
19cce8d7-a7b3-4676-af42-df63ecfcbd4b,c4fe0c44-1ce7-431f-830b-0ffd5ef44067,3ea30048-3727-4d14-9550-3e9fa84206c4,54737e0b-0836-41f1-9a0a-53d2a6306a76,"{Hindi,Polish}",10-10-2017,
60f1185c-6cb2-44aa-a547-23cd23ae72b9,3a74387c-cade-4433-8bd3-157412b302a8,bfc4fe60-9d28-4a38-8092-15da3eca12ef,dae285ee-82bd-48d0-bb8e-2abde825df02,"{French,Vietnamese}",04-09-2020,28-07-2021
fdcdf5c3-136b-4253-bc2f-b77a2b691eea,e46571fe-07e4-45a6-893d-f07cd9dd9117,4d16a1c8-9a63-47d3-bbc7-dcda4ecd046e,78793e89-cb21-41af-b0aa-e4f05d9964f4,{Japanese},13-08-2016,
6b72f487-8c93-43e5-820d-e765ac671744,7ef37887-1877-4be9-86f2-c6fceca52d5a,9a89e8cc-7dd5-4c5e-a5e8-29a3a94a1455,a315678c-1a37-44a9-a0c4-b76243d8f91b,{Persian (Farsi)},23-12-2020,
bdeb3e50-6713-4519-8f50-a12324377e4c,58983713-d051-4e41-98b9-1ad68d3d9522,2dab5fe3-4182-4a0f-a426-40d788fd9afb,d8e8ab12-99d5-47ad-94d2-f6b5f4670391,{French},14-06-2025,
ce1bc659-0261-43e4-8f87-0d155b7fd72a,a5bab3fc-694f-4dc5-85b1-05a5ad78a7af,2591d843-08eb-4e55-9dbf-daa5d4b2941f,885a700b-a131-4636-916c-ef6605f706a9,"{Hindi,Tagalog,Arabic}",06-02-2022,
04b5b71e-a153-48de-b4b0-206ef0e804bd,2d8659ca-c760-4839-8ddd-4f7e25de2bc7,966f2560-1a3c-4c79-b198-b59516aeeb9a,880cc59b-1fed-4516-8b72-26264726f560,"{Russian,Arabic}",29-03-2023,
121d1628-ed1d-4dbd-a39a-c7b2cff542f2,58c398f7-0812-4e97-8a0b-bcfe1b5dbf21,15d3173a-8bc6-4fe2-92b9-817021f48ea6,1b2faf81-d77e-4928-99ff-c5c59bd59644,"{French,English}",05-04-2019,31-08-2020
09e8d85e-6e9e-43f3-a688-e3332c7e366c,520bc35d-cdd1-4007-b1af-7bd374e41250,b5ac4f95-9e5d-4b1b-a65b-69364db10412,912c9da8-243b-41e3-9f66-2b9d14f2ef7d,"{Arabic,Portuguese}",23-07-2018,
93d615cf-68d5-40d6-b30a-be499f55cc50,61003682-6150-4367-9417-7b2cfdfbe9b8,fc04390d-51d0-47f0-88b6-28a440c1d841,f1614a34-733e-4b0c-9d69-a28f16e20a29,"{Spanish,Polish,Russian}",08-02-2023,
73681bff-ebe1-49b4-81b9-9430c5d2ce2b,796228d5-1e00-4e63-b294-a519bed89701,204dfcad-ae40-44c6-8d88-0ebea039432e,cda5fb1f-c531-421d-9ef8-8a64100ed7b9,"{Japanese,French,Arabic}",15-09-2018,27-12-2023
212cfff5-e3ea-4d4c-875e-ff207fc6cd65,62451773-ac86-4ce6-a61d-3ace3ba77955,d83f1ebf-a719-487a-9a28-2a5b2a1d0211,869c23f1-e930-4de2-9dd2-85bfd4b3b460,"{Tagalog,Spanish,Persian (Farsi)}",18-09-2018,
9845d512-5669-4add-b69d-cb5548b5882c,92f56086-f0c7-4792-b7ea-925d2657d2f6,696ad0bb-311e-4a8e-8a7f-a9c60e873192,801ae542-206d-4cb2-85de-fdd78d2a5ece,"{Vietnamese,Korean}",19-01-2022,
bbe08864-1dc4-4c9f-8c16-b3ac88c8b164,4cd5d6ac-e0ca-4945-a5e9-f2e3105bffa9,2693c7ae-628a-41c9-ae89-967f2de9cd1d,d571150c-fa26-4b88-8b53-997c67002211,{Persian (Farsi)},16-07-2020,
71130ea7-e679-49dc-9b14-ac33d91fffe0,dd813dc4-1366-4aa3-ae19-8499e145c826,a18c5b05-f970-413d-9b7e-5cb27f3ca5b4,83706927-e9b3-4c27-981b-7c0f28b32a9c,{Persian (Farsi)},19-02-2019,26-09-2023
a4040cfd-7f98-4249-87fb-757cee5ff8ce,6a111c9f-f2c2-4e07-be66-8c8cad8ea67c,ec452d60-ff9e-4a8a-8738-9d4c2b19fef6,326dcdd3-535d-42d8-8916-f7ec3e0f3a70,{Persian (Farsi)},30-12-2021,13-08-2024
296ca882-c367-4912-a4c4-a9b5f8f5b8fa,f5cf9a2c-f1ed-435f-97da-8d9713e2293b,7a41299b-6f93-40cb-b0e8-9bc7b1f6ea2e,5a0c1b13-a7b1-4b78-926b-7ba1beb36b1a,"{Russian,Spanish}",15-01-2018,19-08-2024
36b1f16b-5e45-461d-84a0-1ab76b70e16e,b0956c5b-d918-4445-94fa-3890e7f4aeac,98defdda-5ab8-4ae9-886d-069f6d4f929a,518a9d2e-2ac0-4879-b1db-31426eba04b9,{Portuguese},24-09-2019,
5cce6a97-49d8-431b-a689-017047734fe4,5effb935-5090-4af6-a276-6f49028efa7f,105f4c9f-42a7-4ca8-b64a-8d7f52f54d1c,a311888a-2ec4-4d85-8d4c-85ed39a1afa8,{Japanese},22-02-2016,10-05-2024
42650af9-7bc7-487c-a867-424a83805896,afbb8da0-1ad9-4e9b-8eb4-59c02959cc3f,c247e3fc-38d9-4aed-bcee-a3ae3a8caabf,3d11109d-b7e0-4f8b-8d44-3d75a7e970ac,"{Chinese,Vietnamese}",29-09-2024,05-05-2025
8a3ad51b-4e1d-42a5-83af-062705ae9266,88229580-f7e9-4e95-8add-135709284134,49af8cfa-d686-4fe4-82b3-48a4af5d6b90,26fa4fcc-2a3c-412c-a3fa-e308552c9824,"{Persian (Farsi),Portuguese,Tagalog}",11-01-2025,
